estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,gini,,,
DecisionTree,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,entropy,,,
RandomForest,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,,10,,
RandomForest,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,,100,,
SupportVectorMachine,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,0.1,,,,
SupportVectorMachine,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,100,,,,
MultilayerPerceptron,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6324479540559943,0.6549592172686091,0.6898779612347452,0.01879263848999817,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6145010768126346,0.6371516346098308,0.665470208183776,0.01636058468190943,,,,,
LogisticRegression,0.6145010768126346,0.6371516346098308,0.665470208183776,0.01636058468190943,0.0001,,,,
