0
UnnecessaryAbstraction
UnutilizedAbstraction
DeficientEncapsulation
BrokenModularization
Cyclic_DependentModularization
InsufficientModularization
Hub_likeModularization
BrokenHierarchy
MissingHierarchy
MultipathHierarchy
WideHierarchy
