estimator,min_score,mean_score,max_score,std_score,C
SupportVectorMachine,0.5971337579617835,0.8200636942675159,0.9952229299363057,0.11599310226392884,100
SupportVectorMachine,0.5222929936305732,0.7570063694267516,0.9952229299363057,0.16220511524529935,0.1
