estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LogisticRegression,{'C': 1.0},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 10000.0},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
BernoulliNaiveBayes,{},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
DecisionTree,{'criterion': 'gini'},f_classif_20,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.3855932203389831,0.15306980656013458,0.21914509331727874,0.5439798965445487,0.22984228247386143
SupportVectorMachine,{'C': 0.1},f_classif_20,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
SupportVectorMachine,{'C': 100},f_classif_20,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.21160714285714285,0.9966358284272497,0.34909412284577995,0.5026960013263325,0.7830940988835726
LinearDiscriminantAnalysis,{},f_classif_50,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
LogisticRegression,{'C': 1.0},f_classif_50,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
LogisticRegression,{'C': 10000.0},f_classif_50,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
BernoulliNaiveBayes,{},f_classif_50,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.340393343419062,0.18923465096719932,0.2432432432432432,0.5456725567364061,0.2480949849370902
DecisionTree,{'criterion': 'gini'},f_classif_50,0.3374233128834356,0.18502943650126155,0.2390005431830527,0.5440189840790995,0.2482721956406167
DecisionTree,{'criterion': 'entropy'},f_classif_50,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
RandomForest,{'n_estimators': 10},f_classif_50,0.32753623188405795,0.1900756938603869,0.24055348589675363,0.5429498361533637,0.25287967393230554
RandomForest,{'n_estimators': 100},f_classif_50,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
RandomForest,{'n_estimators': 10},recursive_elimination,0.20954967187146414,0.7788057190916736,0.33024251069900146,0.49728341634871065,0.6656034024455078
DecisionTree,{'criterion': 'gini'},recursive_elimination,0.20791415157612342,0.7821698906644239,0.3285058283292123,0.4933525699393067,0.6737550948077264
DecisionTree,{'criterion': 'entropy'},recursive_elimination,0.20777479892761394,0.7821698906644239,0.3283318623124448,0.49301579400755996,0.6742867269183058
RandomForest,{'n_estimators': 100},recursive_elimination,0.20811051693404634,0.7855340622371741,0.3290470318830368,0.49379981064261047,0.6749955697324118
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",recursive_elimination,0.30656934306569344,0.21194280908326324,0.2506215813028344,0.5419839775097501,0.26705653021442494
SupportVectorMachine,{'C': 100},recursive_elimination,0.20755983001565645,0.7804878048780488,0.32791519434628974,0.4925115270461191,0.6741095162147793
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",recursive_elimination,0.3137973137973138,0.216148023549201,0.2559760956175299,0.5449846538940437,0.2647527910685805
SupportVectorMachine,{'C': 0.1},recursive_elimination,0.22111196515500897,0.7258200168208578,0.3389630793401414,0.5216437309070612,0.5964912280701754
LinearDiscriminantAnalysis,{},recursive_elimination,0.20967368664660957,0.7619848612279226,0.32885662431941926,0.4976291616422506,0.6553251816409711
