estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6260162601626016,0.707191994996873,0.7682926829268293,0.04990951676441873,,gini,,,
DecisionTree,0.6260162601626016,0.707191994996873,0.7682926829268293,0.04990951676441873,,entropy,,,
RandomForest,0.6260162601626016,0.7067871366972779,0.7682926829268293,0.04948492336320218,,,10,,
RandomForest,0.6260162601626016,0.7067871366972779,0.7682926829268293,0.04948492336320218,,,100,,
SupportVectorMachine,0.6260162601626016,0.7067871366972779,0.7682926829268293,0.04948492336320218,100,,,,
MultilayerPerceptron,0.6260162601626016,0.7067871366972779,0.7682926829268293,0.04948492336320218,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6260162601626016,0.7067871366972779,0.7682926829268293,0.04948492336320218,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.6219512195121951,0.7039514828346664,0.7682926829268293,0.04999705095877322,0.1,,,,
LinearDiscriminantAnalysis,0.6260162601626016,0.7011108916757184,0.7651821862348178,0.048791408629282815,,,,,
LogisticRegression,0.6260162601626016,0.7011108916757184,0.7651821862348178,0.048791408629282815,1.0,,,,
LogisticRegression,0.6260162601626016,0.7011108916757184,0.7651821862348178,0.048791408629282815,10000.0,,,,
K-NearestNeighbor,0.5060728744939271,0.677220960468714,0.7682926829268293,0.07760802116296668,,,,,
BernoulliNaiveBayes,0.5487804878048781,0.6496066620585235,0.7327935222672065,0.05686687015362589,,,,,
LogisticRegression,0.5447154471544715,0.6443402126328955,0.728744939271255,0.05740442575756838,0.0001,,,,
QuadraticDiscriminantAnalysis,0.4979757085020243,0.5,0.5020242914979757,0.0015680094519058302,,,,,
